customer_id,interaction_date,age,income,has_active_loan,campaign_intensity,call_duration,year_month,inflation_rate,unemployment_rate,conversion
605,2020-01-01,67,45375.74020927264,0,0.8970118967719217,21.176456316405602,2020-01,2.0,6.0,1
3706,2020-01-01,44,20000.0,1,0.1243791012674169,92.75386356953177,2020-01,2.0,6.0,0
4548,2020-01-01,44,35216.56233772365,0,0.42390535648403305,4.797412171909821,2020-01,2.0,6.0,0
28,2020-01-01,28,62080.10846297139,1,0.771199139524236,13.909048339623222,2020-01,2.0,6.0,0
3082,2020-01-01,39,77989.99924954321,0,0.5543747005381585,37.97248767596159,2020-01,2.0,6.0,0
4627,2020-01-01,30,63707.94176753026,1,0.8946577029274926,514.852014567501,2020-01,2.0,6.0,0
385,2020-01-01,40,43627.8819118422,1,0.38550406112511815,80.54285947125433,2020-01,2.0,6.0,0
1855,2020-01-01,36,70163.81309703362,0,0.44095274282570485,473.5862659002636,2020-01,2.0,6.0,1
241,2020-01-01,39,45819.31776942596,0,0.7562214385673195,172.55784668409623,2020-01,2.0,6.0,0
672,2020-01-01,35,72976.950812493,0,0.5478303384834743,95.29020521648725,2020-01,2.0,6.0,1
3887,2020-01-01,46,80879.9038266137,0,0.21894596561233404,226.14381783576607,2020-01,2.0,6.0,1
706,2020-01-01,19,49438.38719793309,0,0.13689488266920002,55.800209122046915,2020-01,2.0,6.0,0
2255,2020-01-01,44,20000.0,1,0.5666063803440331,350.49290676102083,2020-01,2.0,6.0,0
3942,2020-01-01,39,64033.32494973552,0,0.8176457262755812,94.05271821369702,2020-01,2.0,6.0,1
1173,2020-01-02,28,57360.38202538635,0,0.3504849943706154,169.10401435144658,2020-01,2.0,6.0,1
1561,2020-01-02,18,91417.72947990052,1,0.9301376677835663,42.51586554166223,2020-01,2.0,6.0,0
2414,2020-01-02,44,92129.1673595728,0,0.755545990918123,242.55271068590224,2020-01,2.0,6.0,1
4225,2020-01-02,44,78149.15804775256,0,0.5325536081842372,232.61629329219198,2020-01,2.0,6.0,0
928,2020-01-02,29,58791.87735567729,0,0.684862963105986,40.27035037070321,2020-01,2.0,6.0,0
627,2020-01-02,31,45301.79698734141,0,0.6068276459294702,20.854676060676308,2020-01,2.0,6.0,1
1847,2020-01-02,39,86507.44517580382,0,0.55678173286047,225.3292448161473,2020-01,2.0,6.0,0
561,2020-01-02,18,54229.67049608869,0,0.34450484945609944,376.88482870573955,2020-01,2.0,6.0,1
257,2020-01-03,51,44459.79539590192,0,0.8851755577526015,20.465629081554102,2020-01,2.0,6.0,0
2080,2020-01-03,33,69720.63204574172,0,0.4758794060015824,0.6428023039868568,2020-01,2.0,6.0,0
43,2020-01-03,37,80218.19130685489,0,0.6894092243652347,143.39744439839362,2020-01,2.0,6.0,0
3104,2020-01-03,49,83810.77968745574,0,0.5909603003074366,193.73349691560045,2020-01,2.0,6.0,1
1357,2020-01-03,31,36666.15608121467,0,0.9136082918144594,338.32472142350787,2020-01,2.0,6.0,0
2051,2020-01-03,22,59202.26495265797,0,0.6455923208845433,6.05410946690936,2020-01,2.0,6.0,0
376,2020-01-03,34,86819.3922681869,1,0.7625959439887148,245.06324446436633,2020-01,2.0,6.0,0
2774,2020-01-03,25,75340.88257750554,1,0.7385699247725496,8.061887218127806,2020-01,2.0,6.0,0
3211,2020-01-03,42,58644.04924440159,1,0.8816488670637384,14.459308631225408,2020-01,2.0,6.0,0
2420,2020-01-03,44,54951.60556519257,0,0.7229515543493601,46.99883507658767,2020-01,2.0,6.0,0
344,2020-01-04,45,68471.06792070942,1,0.25160765708100974,73.25830768902553,2020-01,2.0,6.0,0
2626,2020-01-04,30,68458.5721702257,0,0.7872602174679378,593.3523486331053,2020-01,2.0,6.0,1
988,2020-01-04,23,65988.23876034975,0,0.45119101695599195,37.3281405109491,2020-01,2.0,6.0,0
1928,2020-01-04,56,68549.1080939388,0,0.20753721379110557,391.91225357923395,2020-01,2.0,6.0,1
1033,2020-01-04,47,61701.40170774788,0,0.148454237770255,372.37876726278955,2020-01,2.0,6.0,0
3998,2020-01-04,44,47857.06582545482,0,0.8230206051280065,639.8309208451427,2020-01,2.0,6.0,1
4936,2020-01-05,36,60097.245098671825,1,0.6510032733805834,303.145881638034,2020-01,2.0,6.0,0
3742,2020-01-05,36,46072.99097784649,0,0.9960121717005841,277.21232197114125,2020-01,2.0,6.0,1
1068,2020-01-05,51,83433.64394445623,0,0.890305444616369,219.99191670449156,2020-01,2.0,6.0,1
2936,2020-01-05,56,79352.22732244397,0,0.9532196541173729,143.43562097633503,2020-01,2.0,6.0,0
